binomial_name,country,continent,group,year_last_seen,red_list_category,threat_type,threatened
Isoetes heldreichii,Greece,Europe,Ferns and Allies,Before 1900,Extinct,Unknown,1
Isoetes sinensis,China,Asia,Ferns and Allies,2000-2020,Extinct,Agriculture & Aquaculture,1
Isoetes sinensis,China,Asia,Ferns and Allies,2000-2020,Extinct,Commercial Development,1
Ixora trimera,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Ixora trimera,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Kadua haupuensis,United States,North America,Flowering Plant,1980-1999,Extinct in the Wild,Invasive Species,1
Kanaloa kahoolawensis,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Invasive Species,1
Kanaloa kahoolawensis,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Climate Change,1
Kokia cookei,United States,North America,Flowering Plant,1960-1979,Extinct in the Wild,Agriculture & Aquaculture,1
Kokia lanceolata,United States,North America,Flowering Plant,Before 1900,Extinct,Unknown,1
Kunkeliella psilotoclada,Spain,Europe,Flowering Plant,1980-1999,Extinct,Agriculture & Aquaculture,1
